class,label,latitude,longitude,b02,b03,b04,b08,ndvi,evi,savi,ndwi
Agricultural Areas,2,4951195.0,697345.0,999,1360,1594,3094,0.3199658703071604,0.7258298654795315,0.4798976218406739,-0.3893129770992279
Agricultural Areas,2,4951045.0,697505.0,1519,2038,2178,3044,0.1658368441210232,0.4586378561593051,0.248731450454763,-0.1979535615899213
Urban Areas,1,4951185.0,697625.0,332,240,610,2808,0.6430661205383077,1.381000251319427,0.9644580956559896,-0.8425196850393424
Agricultural Areas,2,4951015.0,697445.0,1465,1872,2112,3205,0.2055670490878276,0.558736325529087,0.3083215796897038,-0.2625566279298746
Forests and semi-natural areas,3,4951095.0,697595.0,376,248,573,3586,0.7244529935080374,1.791319857312723,1.0865488640461594,-0.8706311945748338
Forests and semi-natural areas,3,4951025.0,697625.0,388,271,575,3333,0.7057318321391836,1.7798141455859575,1.0584623257003969,-0.8496115427302761
Agricultural Areas,2,4951045.0,697475.0,1491,1931,2153,3088,0.1784010684983747,0.4845061664421183,0.2675760755508919,-0.230524008766682
Forests and semi-natural areas,3,4951205.0,697645.0,584,667,1201,2923,0.4175557710960131,0.7486956521739131,0.6262577282094799,-0.6284122562673919
